fips,areaname,inc_2001q1,inc_2001q2,inc_2001q3,inc_2001q4,inc_2002q1,inc_2002q2,inc_2002q3,inc_2002q4,inc_2003q1,inc_2003q2,inc_2003q3,inc_2003q4,inc_2004q1,inc_2004q2,inc_2004q3,inc_2004q4,inc_2005q1,inc_2005q2,inc_2005q3,inc_2005q4,inc_2006q1,inc_2006q2,inc_2006q3,inc_2006q4,inc_2007q1,inc_2007q2,inc_2007q3,inc_2007q4,inc_2008q1,inc_2008q2,inc_2008q3,inc_2008q4,inc_2009q1
55,Wisconsin,158444,158733,158799,159578,161617,163547,163568,164504,165530,167364,168383,171204,170624,172973,175927,179097,178367,179962,182558,183726,188692,190489,192910,195488,200743,201701,203519,206372,207763,210954,211588,211504,210005
56,Wyoming,14691,14934,15054,15208,15312,15398,15485,15658,15994,16278,16553,16855,17243,17595,17817,18372,18864,19274,19908,20394,21112,21922,22750,23159,23803,24399,24821,25448,26059,26413,26792,26641,26219
91,New England,525875,524965,522340,524426,525146,530492,528461,528020,529369,534510,540404,549369,555750,564470,573241,583516,579493,586507,598227,607751,622779,630355,636475,648016,663282,667800,676704,685564,690869,698301,700909,700236,695517
92,Mideast,1622152,1620313,1639943,1629171,1643149,1652423,1649416,1647032,1655564,1683193,1698416,1724210,1749982,1773927,1805991,1847325,1847107,1868754,1905452,1941263,1979698,2006202,2028841,2066936,2120443,2121831,2151960,2179653,2206444,2223104,2238236,2232967,2225581
93,Great Lakes,1357092,1358575,1359027,1362062,1369964,1387747,1389906,1396850,1410904,1422650,1429029,1450703,1445623,1464502,1483848,1513450,1500771,1514510,1532054,1546163,1570641,1587917,1603219,1617307,1663724,1669947,1686796,1703900,1717144,1744424,1745113,1739801,1727572
94,Plains,560168,562679,562231,565854,571483,574276,578297,583167,588784,595091,602154,608449,617977,623292,632605,649038,643284,649921,659705,666147,676280,684385,690294,701557,720493,729032,738623,748329,760212,772778,776829,778272,769363
95,Southeast,1904554,1923332,1924203,1939649,1954244,1973506,1978147,1989517,2005113,2024839,2048195,2083327,2126726,2161701,2194449,2252177,2276848,2313562,2263337,2406371,2448936,2483014,2517550,2553289,2597680,2628782,2661212,2683778,2700571,2757644,2746692,2733134,2727874
96,Southwest,888632,892597,893639,896312,898115,904421,907621,913517,919185,933627,944045,960144,981838,998328,1015457,1043117,1067256,1085782,1113315,1138043,1164547,1183968,1204402,1226495,1250891,1269734,1288785,1308131,1328034,1359023,1357946,1360687,1353941
97,Rocky Mountain,278383,279885,279843,280603,281611,282925,283633,285306,284492,287735,292008,294382,300933,306577,309681,318608,324226,329558,336581,342008,351411,355915,363261,368597,374166,380039,385566,392570,395254,400933,403303,400016,397274
98,Far West,1544165,1551417,1545131,1548749,1559048,1570637,1572932,1580477,1592348,1616545,1636088,1656410,1688308,1715750,1740987,1806279,1792942,1821234,1860411,1893310,1947882,1967795,1998641,2025606,2056627,2081224,2112106,2137917,2140476,2174717,2181825,2155822,2140239
